,n_orin,o_orin,sales_n,sales_o,week,pct_change
313,120531105,120491959,0.0,0.0,2,100.0
314,120531105,120491959,0.0,0.0,3,100.0
315,120531105,120491959,0.0,0.0,4,100.0
316,120531105,120491959,0.0,22.338499220780562,5,-100.0
317,120531105,120491959,0.0,20.498858108481,6,-100.0
318,120531113,120491959,0.0,0.0,1,100.0
319,120531113,120491959,0.0,0.0,2,100.0
320,120531113,120491959,0.0,0.0,3,100.0
321,120531113,120491959,0.0,0.0,4,100.0
322,120531113,120491959,0.0,22.338499220780562,5,-100.0
323,120531113,120491959,0.0,20.498858108481,6,-100.0
324,120580100,120548134,0.0,0.0,1,100.0
325,120580100,120548134,0.0,0.0,2,100.0
326,120580100,120548134,0.0,0.0,3,100.0
327,120580100,120548134,0.0,0.0,4,100.0
328,120580100,120548134,0.0,0.0,5,100.0
329,120580100,120548134,0.0,0.0,6,100.0
330,120575108,120471237,0.0,20.236052235295347,1,-100.0
331,120575108,120471237,0.5256117463713049,27.33181081130799,2,-98.0769230769231
332,120575108,120471237,2.890864605042185,34.95318113369195,3,-91.72932330827071
333,120575108,120471237,4.730505717341763,0.0,4,100.0
334,120575108,120471237,3.9420880977848047,0.0,5,100.0
335,120575108,120471237,4.993311590527415,24.44094620626579,6,-79.5698924731183
336,120575116,120471237,0.0,20.236052235295347,1,-100.0
337,120575116,120471237,1.0512234927426098,27.33181081130799,2,-96.15384615384616
338,120575116,120471237,1.576835239113911,34.95318113369195,3,-95.48872180451131
339,120575116,120471237,6.832952702826991,0.0,4,100.0
340,120575116,120471237,6.832952702826991,0.0,5,100.0
341,120575116,120471237,4.204893970970458,24.44094620626579,6,-82.79569892473118
342,120575124,120471237,0.0,20.236052235295347,1,-100.0
343,120575124,120471237,0.7884176195569574,27.33181081130799,2,-97.11538461538464
344,120575124,120471237,7.358564449198309,34.95318113369195,3,-78.94736842105262
345,120575124,120471237,10.249429054240492,0.0,4,100.0
346,120575124,120471237,9.198205561497884,0.0,5,100.0
347,120575124,120471237,7.358564449198309,24.44094620626579,6,-69.89247311827954
348,120575141,120471237,0.0,20.236052235295347,1,-100.0
349,120575141,120471237,0.26280587318565246,27.33181081130799,2,-99.03846153846155
350,120575141,120471237,3.9420880977848047,34.95318113369195,3,-88.72180451127821
351,120575141,120471237,7.095758576012644,0.0,4,100.0
352,120575141,120471237,8.409787941940916,0.0,5,100.0
353,120575141,120471237,7.358564449198309,24.44094620626579,6,-69.89247311827954
354,120575263,120471237,0.0,20.236052235295347,1,-100.0
355,120575263,120471237,1.3140293659282587,27.33181081130799,2,-95.19230769230772
356,120575263,120471237,1.576835239113911,34.95318113369195,3,-95.48872180451131
357,120575263,120471237,6.044535083270036,0.0,4,100.0
358,120575263,120471237,6.307340956455688,0.0,5,100.0
359,120575263,120471237,5.256117463713066,24.44094620626579,6,-78.49462365591403
360,120575378,120548783,0.0,2.628058731856532,1,-100.0
361,120575378,120548783,0.5256117463713049,0.0,2,100.0
362,120575378,120548783,2.365252858670883,0.0,3,100.0
363,120575378,120548783,1.8396411122995637,0.0,4,100.0
364,120575378,120548783,4.204893970970458,0.0,5,100.0
365,120575378,120548783,3.679282224599142,0.0,6,100.0
366,120476100,120500894,0.0,1145.0451894698942,1,-100.0
367,120476100,120500894,26.806199064936685,0.0,2,100.0
